"date","location","observation","age_group","target"
"2020-12-19","US",766,"0-130","inc hosp"
"2021-11-13","US",338,"0-130","inc hosp"
"2021-02-27","US",426,"0-130","inc hosp"
"2022-05-28","US",2729,"0-130","inc hosp"
"2020-11-07","US",520,"0-130","inc hosp"
"2024-01-06","US",19510,"0-130","inc hosp"
"2024-04-27","US",2420,"0-130","inc hosp"
"2021-06-12","US",231,"0-130","inc hosp"
"2022-11-26","US",18149,"0-130","inc hosp"
"2022-02-26","US",1603,"0-130","inc hosp"
"2023-09-02","US",875,"0-130","inc hosp"
"2024-05-04","US",1485,"0-130","inc hosp"
"2021-01-09","US",604,"0-130","inc hosp"
"2025-01-04","US",38690,"0-130","inc hosp"
"2023-01-07","US",14062,"0-130","inc hosp"
"2023-12-16","US",10268,"0-130","inc hosp"
"2021-06-26","US",203,"0-130","inc hosp"
"2021-07-10","US",243,"0-130","inc hosp"
"2023-04-29","US",903,"0-130","inc hosp"
"2025-04-19","US",3871,"0-130","inc hosp"
"2022-04-23","US",3450,"0-130","inc hosp"
"2025-05-17","US",1838,"0-130","inc hosp"
"2021-01-09","04",9,"0-130","inc hosp"
"2024-11-16","22",79,"0-130","inc hosp"
"2025-03-08","22",398,"0-130","inc hosp"
"2023-06-10","34",13,"0-130","inc hosp"
"2025-03-15","44",68,"0-130","inc hosp"
"2024-04-20","45",37,"0-130","inc hosp"
"2025-03-29","45",135,"0-130","inc hosp"
"2022-06-04","51",41,"0-130","inc hosp"
"2021-04-24","21",6,"0-130","inc hosp"
"2022-07-30","21",6,"0-130","inc hosp"
"2022-10-01","44",1,"0-130","inc hosp"
"2021-07-31","45",2,"0-130","inc hosp"
"2021-10-02","45",0,"0-130","inc hosp"
"2023-02-18","45",43,"0-130","inc hosp"
"2021-04-17","04",4,"0-130","inc hosp"
"2021-06-19","04",3,"0-130","inc hosp"
"2021-08-14","04",9,"0-130","inc hosp"
"2021-10-23","04",5,"0-130","inc hosp"
"2025-05-31","04",54,"0-130","inc hosp"
"2025-01-04","21",678,"0-130","inc hosp"
"2020-11-07","27",1,"0-130","inc hosp"
"2021-11-27","34",17,"0-130","inc hosp"
"2021-10-16","41",1,"0-130","inc hosp"
"2023-04-22","41",1,"0-130","inc hosp"
"2024-04-20","41",32,"0-130","inc hosp"
"2021-05-15","45",3,"0-130","inc hosp"
"2024-03-16","45",74,"0-130","inc hosp"
"2020-11-14","56",0,"0-130","inc hosp"
"2023-07-08","04",34,"0-130","inc hosp"
"2021-01-02","11",0,"0-130","inc hosp"
"2023-01-21","11",8,"0-130","inc hosp"
"2023-05-27","21",11,"0-130","inc hosp"
"2021-07-03","27",0,"0-130","inc hosp"
"2021-03-20","34",11,"0-130","inc hosp"
"2022-08-20","34",7,"0-130","inc hosp"
"2024-11-09","34",30,"0-130","inc hosp"
"2025-03-15","41",184,"0-130","inc hosp"
"2025-04-12","41",50,"0-130","inc hosp"
"2021-02-13","45",5,"0-130","inc hosp"
"2025-02-15","45",690,"0-130","inc hosp"
"2020-11-14","51",22,"0-130","inc hosp"
"2025-01-11","51",464,"0-130","inc hosp"
"2021-05-22","56",2,"0-130","inc hosp"
"2021-07-31","04",1,"0-130","inc hosp"
"2022-06-11","22",28,"0-130","inc hosp"
"2024-02-03","34",331,"0-130","inc hosp"
"2020-11-07","41",1,"0-130","inc hosp"
"2021-01-23","41",0,"0-130","inc hosp"
"2023-01-14","41",65,"0-130","inc hosp"
"2024-05-04","41",17,"0-130","inc hosp"
"2022-11-19","51",262,"0-130","inc hosp"
"2024-11-23","51",35,"0-130","inc hosp"
"2024-11-16","56",4,"0-130","inc hosp"
"2023-10-07","04",16,"0-130","inc hosp"
"2020-12-05","11",0,"0-130","inc hosp"
"2024-05-11","11",4,"0-130","inc hosp"
"2025-01-11","21",463,"0-130","inc hosp"
"2021-08-21","22",2,"0-130","inc hosp"
"2024-12-07","27",40,"0-130","inc hosp"
"2022-07-30","34",9,"0-130","inc hosp"
"2022-10-29","34",67,"0-130","inc hosp"
"2022-06-11","41",18,"0-130","inc hosp"
"2020-12-19","51",24,"0-130","inc hosp"
"2022-07-02","51",39,"0-130","inc hosp"
"2021-03-27","04",3,"0-130","inc hosp"
"2022-04-09","04",116,"0-130","inc hosp"
"2023-04-01","21",16,"0-130","inc hosp"
"2021-06-12","34",6,"0-130","inc hosp"
"2021-06-05","45",2,"0-130","inc hosp"
"2022-11-19","45",228,"0-130","inc hosp"
"2023-02-04","45",40,"0-130","inc hosp"
"2021-04-03","51",14,"0-130","inc hosp"
"2023-10-28","56",0,"0-130","inc hosp"
"2023-01-07","04",386,"0-130","inc hosp"
"2021-03-06","22",8,"0-130","inc hosp"
"2021-07-31","27",0,"0-130","inc hosp"
"2023-05-06","27",19,"0-130","inc hosp"
