"date","location","observation","age_group","target"
2022-01-15,"01",11738,"0-130","inc hosp"
2022-01-22,"01",14842,"0-130","inc hosp"
2022-02-05,"01",20807,"0-130","inc hosp"
2022-02-12,"01",22551,"0-130","inc hosp"
2022-02-19,"01",23705,"0-130","inc hosp"
2022-02-26,"01",24536,"0-130","inc hosp"
2022-03-05,"01",25101,"0-130","inc hosp"
2022-03-12,"01",25535,"0-130","inc hosp"
2022-03-19,"01",25793,"0-130","inc hosp"
2022-03-26,"01",25991,"0-130","inc hosp"
2022-04-02,"01",26189,"0-130","inc hosp"
2022-04-09,"01",26350,"0-130","inc hosp"
2022-04-16,"01",26471,"0-130","inc hosp"
2022-04-23,"01",26638,"0-130","inc hosp"
2022-04-30,"01",26774,"0-130","inc hosp"
2022-05-07,"01",26970,"0-130","inc hosp"
2022-05-14,"01",27156,"0-130","inc hosp"
2022-05-21,"01",27369,"0-130","inc hosp"
2022-05-28,"01",27592,"0-130","inc hosp"
2022-06-04,"01",27931,"0-130","inc hosp"
2022-06-11,"01",28267,"0-130","inc hosp"
2022-06-18,"01",28694,"0-130","inc hosp"
2022-06-25,"01",29237,"0-130","inc hosp"
2022-07-02,"01",29925,"0-130","inc hosp"
2022-07-09,"01",30678,"0-130","inc hosp"
2022-07-16,"01",31638,"0-130","inc hosp"
2022-07-23,"01",32567,"0-130","inc hosp"
2022-07-30,"01",33471,"0-130","inc hosp"
2022-08-06,"01",34302,"0-130","inc hosp"
2022-08-13,"01",35164,"0-130","inc hosp"
2022-08-20,"01",35960,"0-130","inc hosp"
2022-08-27,"01",36725,"0-130","inc hosp"
2022-09-03,"01",37492,"0-130","inc hosp"
2022-09-10,"01",38104,"0-130","inc hosp"
2022-09-17,"01",38640,"0-130","inc hosp"
2022-09-24,"01",39048,"0-130","inc hosp"
2022-10-01,"01",39419,"0-130","inc hosp"
2022-10-08,"01",407,"0-130","inc hosp"
2022-10-15,"01",857,"0-130","inc hosp"
2022-10-22,"01",1640,"0-130","inc hosp"
2022-10-29,"01",2590,"0-130","inc hosp"
2022-11-05,"01",3751,"0-130","inc hosp"
2022-11-12,"01",4637,"0-130","inc hosp"
2022-11-19,"01",5327,"0-130","inc hosp"
2022-11-26,"01",6136,"0-130","inc hosp"
2022-12-03,"01",7550,"0-130","inc hosp"
2022-12-10,"01",8347,"0-130","inc hosp"
2022-12-17,"01",9141,"0-130","inc hosp"
2022-12-24,"01",9999,"0-130","inc hosp"
2022-12-31,"01",11039,"0-130","inc hosp"
2023-01-07,"01",12028,"0-130","inc hosp"
2023-01-14,"01",12777,"0-130","inc hosp"
2023-01-21,"01",13363,"0-130","inc hosp"
2023-01-28,"01",13922,"0-130","inc hosp"
2023-02-04,"01",14470,"0-130","inc hosp"
2023-02-11,"01",15019,"0-130","inc hosp"
2023-02-18,"01",15539,"0-130","inc hosp"
2023-02-25,"01",15998,"0-130","inc hosp"
2023-03-04,"01",16352,"0-130","inc hosp"
2023-03-11,"01",16627,"0-130","inc hosp"
2023-03-18,"01",16911,"0-130","inc hosp"
2023-03-25,"01",17213,"0-130","inc hosp"
2023-04-01,"01",17570,"0-130","inc hosp"
2023-04-08,"01",17812,"0-130","inc hosp"
2023-04-15,"01",18028,"0-130","inc hosp"
2023-04-22,"01",18236,"0-130","inc hosp"
2023-04-29,"01",18440,"0-130","inc hosp"
2023-05-06,"01",18616,"0-130","inc hosp"
2023-05-13,"01",18799,"0-130","inc hosp"
2023-05-20,"01",18967,"0-130","inc hosp"
2023-05-27,"01",19133,"0-130","inc hosp"
